class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,314236,0,,0,0,0,0,0,0,50070,2196698,17415290,6015136,152152,734,12938864,2676,0,0,0,0,21275300,17364066,5328264,3381864,0,0,0,0,0,0,0,0,0,0,0,0,20140492,5689524,64,0,29344,16336,20364,33610,13527476,12202858,86,4,2,0,12506066,2837940,1549368,1110352,1175696,2731722,3533706,385230,0,0,26610160,0,490,626,3058,12938864,432242,2157470,3157948,309840,189260,195560,375820,314236.15,26610160,26610160,26188180,162002,3538654,75616,1144160,25830080,1209600,0,,,,22254944.64,0,3542361.6,0,0,0,0,662,336916,5245170,14757164,5042380,371560,73570,2658,,0,26610160,25236,8062,2705520,1280564,1904528,16943802,2938322,24046,0,0,,,,,,,,,,26326,1094,0,0,0,0,0,0,0,0,265442,322300,47298,0,0,953404,139492,37829400,9260866,0,0,0,0,254588740,11437.78,14338,3720804,9692496,3431312,1266640,2134332,1536386,1162260,845806,1824874,215170,0,0
neg,38016,594,476,0,0,0,0,0,0,182,226342,1874712,595944,56800,3546,1260100,0,0,0,0,0,2440706,2141472,402072,269876,0,0,0,0,1898,224,0,0,0,0,0,117160,1270644,949938,419784,0,1940,1414,1566,83494,1723134,942260,3718,0,0,0,1029388,626136,237926,186466,142304,117686,126394,282610,8616,0,2842928,172,146,396,8,1260100,28718,177402,222106,146600,209440,,42800,38015.45,2842928,2842928,2845534,18079,20990,39196,420680,2757526,1209600,60650,0,116,0,2186059.2,0.0,570154.56,0,0,0,0,0,22204,720430,1620970,374540,16444,2838,100,2,8,2842928,2472,268,51428,273246,182498,1655364,585412,6614,218,6,790,564,2032490,155536,70,244,0,0,2209296,1436,670,0,0,0,0,0,0,0,0,14968,27234,4458,0,0,64560,8826,579180,142070,0,0,0,0,8015450,630.5,650,580274,519794,285162,136868,326846,323918,307174,144354,120404,12732,0,0
neg,30904,0,,0,0,0,0,0,0,18326,499672,879452,193542,98,0,838448,0,42,0,0,0,1507098,1422780,134454,62514,0,0,0,0,0,0,0,0,0,0,0,2410,648274,716370,224036,0,2476,828,842,1232,19596,1541476,24640,0,0,0,625688,356328,214794,139272,101278,103838,49110,782,0,0,1641884,0,84,124,42,838448,14048,63518,70378,101200,1310700,1310700,30120,30903.42,1641884,1641884,1628680,7959,69290,41620,429240,1591090,1209600,0,,,,1480813.44,0.0,107170.56,,,0,0,54,239824,723778,575644,45406,5272,1100,12,,0,1641884,2622,270,32412,72074,58776,1072494,340690,11732,20,0,,,,,,,,,,948,64,0,0,0,0,0,0,0,0,6608,18824,4270,0,0,53326,8358,2519980,290324,0,0,0,0,1278740,,,118902,196782,109058,65758,258578,370396,276036,116210,77792,1578,0,0
neg,14,58,32,0,0,0,0,0,0,4312,1700,886,0,0,0,1820,0,0,0,866,1192,6748,6522,2236,302,0,0,0,0,32,0,0,0,0,0,0,0,0,0,6898,0,44,6,14,12,900,5918,4,0,0,0,5150,868,260,162,64,30,340,24,0,0,9864,0,0,8,0,1820,114,1144,1082,,,,2160,14.6,9864,9864,11454,22,0,954,9760,6898,1209600,310,2,2,0,1958.4,0.0,4413.12,0,14,0,0,3090,1946,1290,240,332,0,0,0,0,6,9864,932,8,6,8,216,390,4704,610,24,0,86,0,1702,98,0,0,0,0,2130,30,32,0,0,0,0,0,0,0,0,102,0,0,2188,482,82,22,12080,2182,5576,6,0,0,0,33.96,30,5082,1358,286,90,52,24,6,0,0,0,0,0
neg,38520,2130706432,222,0,0,0,0,0,0,388,186500,2013394,774622,57428,1258,1294952,0,0,0,0,0,2702918,2370624,745106,283762,0,0,0,0,612,458,0,0,0,0,0,44,380980,1201764,1450802,0,2402,2082,4692,9614,188830,2824958,1012,0,0,0,1289680,798940,279966,176944,127292,129876,222010,8882,0,0,3448326,826,4244,644,36,1294952,42248,479040,263296,242620,318880,,178700,38520.89,3448326,3448326,3443966,14655,5950,99846,1023780,3033590,1209600,106582,2,144,0,2448808.32,0.0,583157.76,0,564,0,0,0,7476,940076,1564882,482576,35422,3098,60,20,24,3448326,3364,402,18458,486772,147486,1553882,804406,18640,180,0,454,1400,1669042,520556,0,15462,0,10,2497096,2330,220,0,0,0,0,0,0,0,0,23152,22304,9428,0,0,83272,16598,15901420,1655026,0,0,0,0,344970,887.86,964,614528,641872,425588,190648,383076,605854,149636,17828,4314,246,0,0
neg,39126,2130706434,248,0,0,0,0,0,0,534,35154,1716508,658268,28124,372,1119304,0,48,0,0,0,2219956,1962346,423788,222130,0,0,0,0,224,96,0,0,0,0,0,0,440642,1776432,221886,0,4398,3120,7936,10596,374192,2038608,110,0,0,0,773156,641030,208908,150742,121432,107566,263142,172984,0,0,2643972,270,484,1202,6,1119304,27778,239076,182316,204800,184360,,31220,39126.22,2643972,2643972,2646834,17058,31804,20136,220580,2438960,1209600,67312,2,74,0,1978832.64,0.0,457947.84,64,522,0,0,0,356,704178,1306058,408030,18428,1886,24,2878,2900,2643972,3504,266,46448,183734,115192,991168,1082888,15614,146,0,260,246,1382940,71006,0,41570,0,22,1995654,1204,126,0,0,0,0,0,0,0,0,16642,44832,12524,0,0,71920,10934,8282820,1590668,2193346,1860,0,0,237420,685.22,688,471208,316140,229080,117232,246868,255902,186232,154654,404094,57550,0,0
neg,30146,0,,0,0,0,0,0,0,320,105926,1567560,429096,9192,0,913866,0,0,0,0,0,1906604,1728240,251376,152500,0,0,0,0,0,0,0,0,0,0,0,58198,786840,906956,360100,0,7650,3486,4006,9344,1054908,1032640,60,0,0,0,842486,304920,193612,166168,146446,139000,190344,121012,8084,22,2158170,16,234,14,18,913866,21360,123446,127612,152400,1310700,1310700,96460,30145.44,2158170,2158170,2142084,14046,28360,92962,945120,2112094,1209600,0,,,,1799088.96,0.0,310377.6,,,0,0,0,11946,944864,1055260,90720,8300,1004,0,,356,2158170,2450,214,65376,161296,90982,1557750,231804,2218,4,0,,,,,,,,,,1306,46,0,0,0,0,0,0,0,0,11544,27412,4754,0,0,54100,9958,4616720,611114,0,0,0,0,9691730,,,321944,465684,264104,128632,272736,235320,214538,110972,95446,2718,0,0
neg,14,58,,0,0,0,0,0,0,8,2684,4152,0,0,0,2146,0,72,0,0,0,16168,13784,5536,636,0,0,0,0,20,12,0,0,0,0,0,0,0,1550,5294,0,1470,4,14,22,28,2596,2710,0,0,0,5268,490,90,58,208,494,100,88,44,4,21724,0,2,0,0,2146,182,3402,2122,,,,5360,13.77,21724,21724,23424,29,210,2056,21500,6888,1209600,0,,,,2095.68,0.0,3399.36,0,20,0,0,0,1682,3990,1140,32,0,0,0,,0,21724,1452,16,14,104,194,2244,2308,476,36,0,,,,,,,,,,66,14,0,0,0,0,0,0,0,0,178,0,0,1370,186,60,26,4660,556,6248,28,0,0,0,89.14,54,4900,1542,194,56,64,44,40,4,0,0,0,0
neg,4,78,50,0,0,0,0,0,1700,9100,1544,1092,0,0,0,952,0,0,0,850,1300,2444,2310,3286,70,2,0,0,0,110,108,0,0,0,0,0,0,0,9482,3954,0,1166,6,0,6,8,220,11986,44,0,0,10544,1064,402,300,208,126,104,536,14,138,6598,0,4,0,0,952,78,2164,1054,,,,3140,3.47,6598,6598,26648,44,0,604,6480,13484,1209600,694,0,12,0,4667.52,0,7678.08,0,12,0,6,9856,2276,368,256,674,0,0,0,10,30,6598,1168,14,432,268,156,3010,6640,1286,462,0,82,202,3308,224,0,28,0,0,4978,50,84,0,0,0,0,0,0,0,0,90,0,0,96,138,98,70,220,22,2430,26,0,0,0,102.2,50,9110,3726,238,44,64,52,84,118,0,0,0,0
neg,16,34,16,0,0,0,0,0,0,14,2776,1944,0,0,0,1754,0,0,0,0,0,10952,9408,2868,432,0,0,0,0,8,32,0,0,0,0,0,0,0,0,4734,0,930,24,14,14,70,3682,0,0,0,0,3092,682,178,242,42,78,90,298,30,2,13824,0,6,2,0,1754,132,1656,1204,1310700,1310700,1310700,2780,15.25,13824,13824,18252,19,310,1338,13720,4734,1209600,234,0,4,0,2200.32,0.0,1629.12,,,0,0,0,2022,1820,568,324,0,0,0,6,12,13824,910,12,10,508,30,764,1966,528,6,0,20,74,1692,116,0,16,0,0,2390,34,34,0,0,0,0,0,0,0,0,110,0,0,1010,732,60,24,1660,344,86,28,0,0,0,,,2662,1590,360,46,54,14,6,2,0,0,0,0
